"Code point","Rank 1","Rank 2","Unicode name","WP43S usage","Should be","Glyph","Replacement","Code point"
"U+03ab",400,403,"GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA",,,"Ϋ","Υ","U+03a5"
"U+03ac",347,350,"GREEK SMALL LETTER ALPHA WITH TONOS",,,"ά","Α","U+0391"
"U+03ad",358,360,"GREEK SMALL LETTER EPSILON WITH TONOS",,,"έ","Ε","U+0395"
"U+03ae",363,365,"GREEK SMALL LETTER ETA WITH TONOS",,,"ή","Η","U+0397"
"U+03af",368,370,"GREEK SMALL LETTER IOTA WITH TONOS",,,"ί","Ι","U+0399"
"U+03b0",400,405,"GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS",,,"ΰ","Υ","U+03a5"
"U+03b1",347,348,"GREEK SMALL LETTER ALPHA",,,"α","Α","U+0391"
"U+03b2",351,352,"GREEK SMALL LETTER BETA",,,"β","Β","U+0392"
"U+03b3",353,354,"GREEK SMALL LETTER GAMMA",,,"γ","Γ","U+0393"
"U+03b4",355,356,"GREEK SMALL LETTER DELTA",,,"δ","Δ","U+0394"
"U+03b5",358,359,"GREEK SMALL LETTER EPSILON",,,"ε","Ε","U+0395"
